Lang_Id,Lang_Name,Lang_Location
1,Abidji,Ivory Coast
2,Agarabi,Papua New Guinea
3,Casiguran Agta,Philippines
4,Aguacateco,Guatemala
5,Amarakaeri,Peru
6,Ampeeli,Papua New Guinea
7,Amuzgo,
8,Angaatiha,Papua New Guinea
9,Apinaye,Brazil
10,Arabela,Peru
11,Bahinemo,Papua New Guinea
12,Bauzi,
13,Berik,Indonesia
14,Bete,
15,Bhili,India
16,Buglere,
17,Cakchiquel,Guatemala
18,Ucayali Campa,Peru
19,Camsa,
20,Candoshi,
21,CavineXa,
22,Cayapa,Ecuador
23,Ch{\x87}cobo,
24,Chavacano,
25,Chayahuita,
26,Chinanteco,Mexico
27,Chiquitano,Bolivia
28,Chumburu,
29,CofXn,
30,Colorado,
31,Eastern Cree,Canada
32,Culina,Peru
33,Didinga,
34,Djuka,
35,Dyimini,
36,Ejagam,
37,Ese Ejja,Bolivia
38,Carib,Guatemala
39,Guahibo,Colombia
40,Guambiano,
41,Guarijio,Mexico
42,NgXbere,Panama
43,Gunu,Cameroon
44,Halbi,India
45,Huasteco,Mexico
46,Huave,Mexico
47,Iduna,
48,Ifugao,PHILIPPINES
49,Sepik Iwam,Papua New Guinea
50,Jicaque,
51,Kalam,
52,Kamano-Kafe,
53,Karaja,
54,Kemtuik,Indonesia
55,Kokoni,
56,Konkomba,Ghana
57,Kriol,
58,Kuku-Yalanji,
59,Long-haired Kuna,Panama
60,Kwerba,
61,Lele,CHAD
62,Mampruli,Ghana
63,Maring,Papua New Guinea
64,Martu Wangka,
65,Mawchi,
66,Mayoruna,
67,Mazahua,
68,Mazateco,
69,Menye,Papua New Guinea
70,Micmac,
71,Mikasuki,U S A
72,Mixteco,
73,Mundu,
74,MXra PirahX,
75,Murle,
76,Murinbata,
77,Nafaanra,
78,Nahuatl,
79,Ocaina,
80,Papago,
81,Patep,
82,Paya,
83,Podopa,
84,Saramaccan,
85,Seri,
86,Shipibo,Peru,
87,SirionX,
88,Slave,Canada
89,Sursurunga,
90,Tabla,
91,Tacana,Bolivia
92,Central Tarahumara,Mexico
93,W. Tarahumara,Mexico
94,Tboli,
95,Teribe,
96,Ticuna,
97,Tifal,Papua N. Guinea
98,Tlapaneco,
99,Tucano,Colombia
100,Vagla,
101,Vasavi,
102,Waorani,
103,Walpiri,
104,Wobe,
105,Yacouba,
106,Yakan,
107,Yaminahua,Peru
108,Yucuna,Colombia
109,Yupik,
110,Zapoteco,